Country,Sleep Quality,Sleep Duration (hrs),Snore Duration,Bedtime,Wake-up Time,Daylight Savings,Snore percentage,Hemisphere,Approximate Latitude,Position Relative to Equator,Longest Night (hrs),Equinox Night(hrs),Longest night / equinox night,bedtime_minutes,wakeup_minutes
Ecuador,0.7426,7.3087,3.1281,23:29,06:46,0.0,42.8,Both,0°,On Equator,12.1,12.0,1.008333333333333,1409,406
Indonesia,0.746,7.3429,3.7532,23:47,07:08,0.0,51.11,Both,0°,Straddles Equator,22.5,12.0,1.875,1427,428
Singapore,0.7272,7.1064,5.4312,00:34,07:40,0.0,76.43,Northern,1°N,Very Close to Equator,12.2,12.0,1.016666666666667,1474,460
Costa Rica,0.7374,7.3553,4.3181,23:14,06:34,0.0,58.71,Northern,10°N,Low-Northern,12.2,12.0,1.016666666666667,1394,394
Peru,0.6956,6.9546,2.5487,23:43,06:40,0.0,36.65,Southern,10°S,Low-Southern,12.5,12.0,1.041666666666667,1423,400
Brazil,0.7321,7.2515,3.3342,23:53,07:08,0.0,45.98,Southern,10°S,Low-Southern,12.5,12.0,1.041666666666667,1433,428
Philippines,0.718,7.15,5.094,23:51,07:03,0.0,71.24,Northern,13°N,Low-Northern,12.5,12.0,1.041666666666667,1431,423
Thailand,0.7382,7.2537,4.032,00:22,07:36,0.0,55.59,Northern,15°N,Low-Northern,12.5,12.0,1.041666666666667,1462,456
Vietnam,0.712,7.0359,3.3892,00:03,07:04,0.0,48.17,Northern,16°N,Low-Northern,12.5,12.0,1.041666666666667,1443,424
Malaysia,0.7093,6.9809,4.7327,00:30,07:29,0.0,67.79,Northern,2°N,Very Close to Equator,12.2,12.0,1.016666666666667,1470,449
India,0.7139,6.8965,3.5246,00:03,06:58,0.0,51.11,Northern,20°N,Low-Northern,12.5,12.0,1.041666666666667,1443,418
Hong Kong,0.7298,7.1365,5.8989,01:01,08:09,0.0,82.66,Northern,22°N,Low-Northern,13.0,12.0,1.083333333333333,1501,489
